userid,name,age,dob_day,dob_year,dob_month,ingredients,gender,methods,weight,food_tag,cooktime,preptime,servingsize,tagname/taste,mood,alcoholic,receipes_liked,likes,searchids,sharesbyyou,sharestoyou,signuplocation,latitude,longitude,tags_counts,video_id,likedvideo,seasons,marital status,time of day,week day,types of food
18669890,Isaac Berger,73,27,1947,7,,Female,Roasting,Overweight,Tiffin,50,59,3,Astringent,Calm,No,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",199,,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",Benglure,15,79,,,,winter,Not Married,22,Thu,Veg
18665805,Isaac Boleslavsky,32,19,1988,7,,Female,Broiling,Overweight,Dinner,60,63,3,Astringent,Sadness,No,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",459,,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe","Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Jaipur,19,86,,,,autumn,Married,14,Mon,Veg
18669827,Isaac Carasso,29,22,1991,11,,Female,Baking,Overweight,Suffer,25,33,2,Astringent,Happy,Yes,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",407,,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",Benglure,37,95,,,,spring,Not Married,24,Mon,Non Veg
18663192,Isaac Deutscher,33,16,1987,9,,Male,Simmering,Underweight,Suffer,55,57,3,Salty,Calm,No,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread",436,,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread",Mumbai,33,78,,,,winter,Married,5,Fri,Non Veg
18666406,Isaac Emanuilovich Babel,24,22,1996,2,,Female,Simmering,Overweight,Breakfast,60,67,3,Bitter,Boredom,Yes,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino",226,,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino",Mumbai,11,75,,,,winter,Married,15,Wed,Non Veg
18665191,Isaac Gimbel,27,21,1993,7,,Male,Frying,Underweight,Suffer,10,16,3,Sweet,Lonely,No,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",415,,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",Benglure,25,78,,,,autumn,Married,9,Sat,Veg
18661460,Isaac Hanson  ,78,29,1942,3,,Female,Broiling,Overweight,Lunch,10,16,1,Astringent,Angry,No,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",488,,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges","Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Jaipur,30,70,,,,spring,Not Married,9,Fri,Non Veg
18670425,Isaac Hayes,57,20,1963,2,,Female,Poaching,Normal,Dinner,30,40,2,Pungent,party,No,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",405,,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",Kolkata,28,93,,,,summer,Not Married,11,Tue,Veg
18665335,Isaac Hays,8,8,2012,6,,Male,Roasting,Underweight,Lunch,60,65,1,Sour,Stress,Yes,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails",465,,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails",Jaipur,13,85,,,,summer,Married,14,Wed,Non Veg
18670982,Isaac Isaacs,75,14,1945,1,,Male,Baking,Underweight,Suffer,20,25,2,Sweet,Lonely,Yes,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",93,,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",Mumbai,13,81,,,,spring,Not Married,11,Fri,Veg
18670182,Isaac Kashdan,26,18,1994,6,,Male,Baking,Normal,Tiffin,40,49,2,Pungent,Lonely,No,,344,,,,Delhi,,,,,,winter,Not Married,9,Sun,Non Veg
18666763,Isaac Klein,25,18,1995,12,,Female,Grilling,Underweight,Suffer,25,30,2,Bitter,party,Yes,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",106,,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",Delhi,,,,,,summer,Not Married,23,Sat,Veg
18664115,Isaac Larian,23,19,1997,4,,Male,Grilling,Normal,Suffer,45,54,3,Astringent,Ominous,Yes,"Pizza, Garlic Bread",75,,"Pizza, Garlic Bread","Pizza, Garlic Bread",Benglure,,,,,,summer,Not Married,,,Non Veg
18665601,Isaac Luria,73,26,1947,12,,Male,Steaming,Underweight,Dinner,10,16,4,Bitter,Calm,No,,65,,,,Mumbai,,,,,,spring,Not Married,,,Veg
18665082,Isaac Mizrahi,62,5,1958,1,,Male,Broiling,Underweight,Suffer,50,59,4,Pungent,Ominous,No,"Pasta, Iced Tea",463,,"Pasta, Iced Tea","Pasta, Iced Tea",Mumbai,,,,,,winter,Married,,,Veg
18662960,Isaac Newton,29,4,1991,11,,Female,Simmering,Normal,Lunch,50,52,3,Sweet,Angry,Yes,,49,,,,Benglure,,,,,,winter,Not Married,,,Veg
18668477,Isaac Rosenberg,44,16,1976,1,,Male,Simmering,Underweight,Dinner,5,11,1,Sweet,party,No,,18,,,,Benglure,,,,,,winter,Married,,,Veg
18664674,Isaac Slade  ,30,9,1990,8,,Male,Grilling,Underweight,Suffer,60,66,2,Astringent,Stress,No,,348,,,,Benglure,,,,,,summer,Not Married,,,Non Veg
18668937,Isaac Stern,18,20,2002,10,,Female,Broiling,Underweight,Lunch,55,65,1,Sweet,Lonely,Yes,,134,,,,Jaipur,,,,,,spring,Not Married,,,Non Veg
18669585,Isaak Levitan,51,25,1969,3,,Female,Frying,Normal,Breakfast,40,42,2,Sour,Sadness,No,,45,,,,Delhi,,,,,,spring,Not Married,,,Non Veg
18664392,Isabel Fonseca,77,30,1943,9,,Female,Steaming,Normal,Suffer,30,36,3,Bitter,Happy,No,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",343,,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",Jaipur,,,,,,summer,Married,,,Non Veg
18670266,Isabelle Peretz,65,10,1955,11,,Female,Steaming,Overweight,Tiffin,40,47,2,Pungent,Sadness,No,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam",189,,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam",Kolkata,,,,,,winter,Not Married,,,Veg
18668390,Isador Straus,78,18,1942,9,,Female,Grilling,Normal,Breakfast,10,19,4,Pungent,Happy,No,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",128,,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",Jaipur,,,,,,winter,Married,,,Non Veg
18668663,Isadore S. Jachman,33,14,1987,5,,Male,Poaching,Normal,Tiffin,30,39,3,Salty,Sadness,No, 'RATED\n  Very nice loved it and ur chat support is really awesome please keep it up love u'),252,, 'RATED\n  Very nice loved it and ur chat support is really awesome please keep it up love u'), 'RATED\n  Very nice loved it and ur chat support is really awesome please keep it up love u'),Jaipur,,,,,,winter,Not Married,,,Non Veg
18665294,Isadore Singer,50,16,1970,8,,Female,Roasting,Normal,Tiffin,45,54,2,Sour,Stress,No,,32,,,,Benglure,,,,,,winter,Married,,,Non Veg
18666514,Isaiah,68,19,1952,3,,Male,Simmering,Overweight,Dinner,60,70,2,Pungent,Happy,Yes,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",139,,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza","Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Jaipur,,,,,,autumn,Not Married,,,Veg
18666556,Isaiah Berlin,65,8,1955,8,,Female,Frying,Overweight,Tiffin,30,32,2,Sweet,Happy,No,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap",13,,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap",Benglure,,,,,,summer,Married,,,Veg
18664973,Ish Kabibble,18,15,2002,10,,Female,Steaming,Overweight,Dinner,15,23,3,Salty,Boredom,No, ('Rated 5.0',38,, ('Rated 5.0', ('Rated 5.0',Benglure,,,,,,spring,Not Married,,,Non Veg
18665489,Isidor Gunsberg,54,28,1966,2,,Female,Simmering,Normal,Breakfast,35,39,2,Salty,Romantic,No,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",426,,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani","Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Mumbai,,,,,,spring,Married,,,Veg
18663887,Isidor Isaac Rabi,70,23,1950,5,,Male,Steaming,Normal,Suffer,15,20,1,Sour,Romantic,Yes,,259,,,,Benglure,,,,,,autumn,Not Married,,,Non Veg
18662576,Isidor Rabi,57,4,1963,9,,Female,Roasting,Overweight,Tiffin,30,40,1,Astringent,Angry,Yes,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken",12,,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken",Mumbai,,,,,,winter,Married,,,Non Veg
18663571,Isidor Rayner,38,30,1982,5,,Female,Grilling,Overweight,Breakfast,20,23,2,Salty,Romantic,Yes,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",262,,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",Benglure,,,,,,winter,Married,,,Veg
18664230,Isidore Isou,27,28,1993,8,,Male,Poaching,Underweight,Lunch,40,46,4,Bitter,Stress,No, ('Rated 4.0',71,, ('Rated 4.0', ('Rated 4.0',Mumbai,,,,,,winter,Married,,,Veg
18663467,Ismar Schorsch,46,20,1974,9,,Male,Roasting,Overweight,Suffer,55,59,1,Astringent,Romantic,No,,184,,,,Kolkata,,,,,,spring,Not Married,,,Veg
18670092,Israel Asper,71,25,1949,3,,Female,Grilling,Normal,Tiffin,55,65,4,Sour,Happy,Yes,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",215,,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",Benglure,,,,,,spring,Married,,,Non Veg
18665482,Israel ben Eliezer,76,23,1944,5,,Male,Broiling,Normal,Dinner,10,14,2,Astringent,Sadness,No,,273,,,,Delhi,,,,,,spring,Married,,,Non Veg
18668746,Israel Galili,76,3,1944,1,,Male,Baking,Overweight,Breakfast,55,61,2,Sweet,Romantic,No,"Burgers, Fries, Hot Chocolate",394,,"Burgers, Fries, Hot Chocolate","Burgers, Fries, Hot Chocolate",Delhi,,,,,,autumn,Not Married,,,Non Veg
18670651,Israel Horowitz,75,30,1945,2,,Female,Roasting,Normal,Suffer,45,55,1,Bitter,Stress,No,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos",490,,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos",Benglure,,,,,,summer,Not Married,,,Non Veg
18669332,Israel Isidor Elyashev,25,10,1995,7,,Male,Broiling,Underweight,Suffer,20,28,2,Pungent,Sadness,Yes,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",391,,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",Benglure,,,,,,winter,Not Married,,,Veg
18666592,Israel Kirzner,15,23,2005,9,,Female,Roasting,Underweight,Suffer,35,43,2,Sour,Boredom,No, 'RATED\n  This roof top outlet of OnestÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\xa0 is one of the amazing places to have the best pizzas in and around Banashankari.\n\nNot only the ambience but also the cheerful yet humble service staff catalised my great experience there.\n\nMust try: chat pizza,314,, 'RATED\n  This roof top outlet of OnestÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\xa0 is one of the amazing places to have the best pizzas in and around Banashankari.\n\nNot only the ambience but also the cheerful yet humble service staff catalised my great experience there.\n\nMust try: chat pizza, 'RATED\n  This roof top outlet of OnestÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\xa0 is one of the amazing places to have the best pizzas in and around Banashankari.\n\nNot only the ambience but also the cheerful yet humble service staff catalised my great experience there.\n\nMust try: chat pizza,Benglure,,,,,,winter,Not Married,,,Non Veg
18668659,Israel Shahak,59,2,1961,1,,Female,Roasting,Overweight,Suffer,30,38,3,Astringent,Angry,Yes,Prompt Service,11,,Prompt Service,Prompt Service,Kolkata,,,,,,spring,Married,,,Veg
18668428,Israel Tal,47,9,1973,8,,Female,Steaming,Underweight,Lunch,55,57,3,Astringent,Happy,No,Biryani,426,,Biryani,Biryani,Mumbai,,,,,,autumn,Married,,,Veg
18665597,Israel Zangwill,32,10,1988,4,,Female,Baking,Overweight,Lunch,55,59,2,Astringent,Lonely,No,"Butter Chicken, Noodles, Thali, Biryani",27,,"Butter Chicken, Noodles, Thali, Biryani","Butter Chicken, Noodles, Thali, Biryani",Delhi,,,,,,winter,Not Married,,,Non Veg
18665751,Israeli politicians,70,21,1950,6,,Male,Broiling,Overweight,Breakfast,15,24,4,Bitter,Boredom,Yes,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice",16,,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice",Benglure,,,,,,spring,Not Married,,,Non Veg
18668723,Issachar Berend Lehmann,24,25,1996,3,,Male,Broiling,Overweight,Tiffin,45,51,3,Astringent,party,No,"Paratha, Pasta",46,,"Paratha, Pasta","Paratha, Pasta",Benglure,,,,,,spring,Not Married,,,Veg
18664036,Isser Harel,29,16,1991,12,,Female,Baking,Underweight,Breakfast,45,48,2,Astringent,Boredom,No,,114,,,,Benglure,,,,,,autumn,Not Married,,,Veg
18670253,Isshin Arima  ,61,22,1959,9,,Female,Frying,Normal,Breakfast,20,27,3,Bitter,Angry,No,,210,,,,Kolkata,,,,,,summer,Married,,,Non Veg
18666849,Issy Smith,39,3,1981,2,,Female,Roasting,Overweight,Breakfast,20,30,3,Astringent,Calm,Yes,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse",313,,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse",Kolkata,,,,,,autumn,Married,,,Veg
18661549,Italo Svevo,13,15,2007,3,,Female,Frying,Underweight,Suffer,5,12,1,Salty,Happy,Yes,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",273,,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",Jaipur,,,,,,spring,Not Married,,,Veg
18669157,Itchy,73,15,1947,6,,Male,Poaching,Normal,Dinner,25,34,4,Pungent,party,No,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti",200,,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti",Kolkata,,,,,,spring,Not Married,,,Non Veg
18669066,Itzhak Perlman,60,9,1960,5,,Male,Simmering,Normal,Suffer,35,44,3,Salty,Happy,No,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",386,,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",Mumbai,,,,,,autumn,Not Married,,,Veg
18666175,Itzik Feffer,11,24,2009,2,,Male,Baking,Overweight,Tiffin,5,14,1,Sweet,Angry,No,,412,,,,Mumbai,,,,,,autumn,Married,,,Veg
18667102,Ivan Boesky,15,6,2005,1,,Female,Steaming,Underweight,Dinner,55,65,4,Pungent,Sadness,No,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",14,,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",Kolkata,,,,,,autumn,Not Married,,,Non Veg
18663101,Ivan Chernyakhovsky,56,12,1964,8,,Female,Steaming,Overweight,Tiffin,5,7,4,Pungent,Ominous,Yes, wamama special mocktail and to finish fried ice cream. Everything was good.'),253,, wamama special mocktail and to finish fried ice cream. Everything was good.'), wamama special mocktail and to finish fried ice cream. Everything was good.'),Delhi,,,,,,winter,Married,,,Non Veg
18666680,Ivan Kral ,33,1,1987,1,,Male,Simmering,Overweight,Lunch,50,53,1,Sour,Lonely,Yes,,42,,,,Benglure,,,,,,summer,Not Married,,,Non Veg
18670802,Ivan Reitman,71,22,1949,9,,Female,Grilling,Underweight,Tiffin,30,40,4,Astringent,Ominous,Yes,,370,,,,Benglure,,,,,,summer,Not Married,,,Non Veg
18661128,Ivan Sag,28,20,1992,1,,Female,Frying,Overweight,Breakfast,60,68,1,Bitter,Angry,No,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup",150,,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup",Mumbai,,,,,,winter,Married,,,Veg
18670429,Ivor Cutler,76,9,1944,3,,Male,Grilling,Underweight,Tiffin,40,43,1,Astringent,Stress,No, 'RATED\n  A not so good experience in this restaurant\nAmbience is okay but food taste is not upto mark\nThe curry leaf fried Chicken was soggy & not hot enough.\nCheesy fries was big dampener.. pizza cheese was just mixed with the fries which was way too sticky & fries itself tasted not so great.\nThe only solace was Thin crust Chicken supreme pizza which was good.\nService was quite slow. To get the starters it took almost 30 min.'),393,, 'RATED\n  A not so good experience in this restaurant\nAmbience is okay but food taste is not upto mark\nThe curry leaf fried Chicken was soggy & not hot enough.\nCheesy fries was big dampener.. pizza cheese was just mixed with the fries which was way too sticky & fries itself tasted not so great.\nThe only solace was Thin crust Chicken supreme pizza which was good.\nService was quite slow. To get the starters it took almost 30 min.'), 'RATED\n  A not so good experience in this restaurant\nAmbience is okay but food taste is not upto mark\nThe curry leaf fried Chicken was soggy & not hot enough.\nCheesy fries was big dampener.. pizza cheese was just mixed with the fries which was way too sticky & fries itself tasted not so great.\nThe only solace was Thin crust Chicken supreme pizza which was good.\nService was quite slow. To get the starters it took almost 30 min.'),Jaipur,,,,,,autumn,Not Married,,,Non Veg
18665343,Ivor the Engine,62,15,1958,3,,Female,Frying,Overweight,Tiffin,15,25,2,Salty,Happy,No,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",305,,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",Benglure,,,,,,spring,Married,,,Non Veg
18665890,Ivy Queen,31,16,1989,9,,Female,Simmering,Underweight,Suffer,15,17,2,Bitter,Calm,No,,400,,,,Mumbai,,,,,,summer,Married,,,Veg
